word,frequency
罕,46
良,46
听,46
征,46
射,46
伤,46
跑,46
跟,46
纽,45
邦,45
序,45
陷,45
促,45
宗,45
闻,45
杂,45
若,45
习,44
春,44
川,44
讯,44
锂,44
岸,44
坚,44
捕,44
刚,44
伦,44
察,43
疾,43
范,43
戏,43
胁,43
武,43
书,43
挥,43
隐,42
顶,42
固,42
券,42
盘,42
孩,42
冰,42
勒,42
聚,42
恶,41
署,41
攻,41
挖,41
阳,41
坏,41
弹,41
氢,41
允,41
滑,41
笔,40
码,40
思,40
著,40
逊,40
闭,40
余,40
森,40
述,40
含,40
龙,40
默,39
稀,39
麦,39
励,39
童,39
借,39
莫,39
拜,39
沙,39
拟,39
修,39
赖,39
吉,39
栓,39
泡,38
念,38
迷,38
癌,38
胜,38
肉,38
授,38
吨,38
埃,38
蓄,38
陈,38
吁,38
附,37
鼓,37
秋,37
介,37
丽,37
返,37
佳,37
托,37
豆,37
享,37
养,37
抵,37
族,37
拍,37
废,37
李,37
馆,36
奇,36
障,36
竟,36
梦,36
树,36
宽,36
芝,36
休,36
永,36
画,36
哥,36
赐,36
贷,35
盖,35
曼,35
鲁,35
答,35
穿,35
础,35
蛋,35
跃,35
峰,35
堵,35
跳,35
王,35
乘,35
奖,35
掌,35
惊,35
衡,34
荣,34
艺,34
振,34
映,34
浅,34
袭,34
雷,34
驻,34
沃,34
卷,33
木,33
伟,33
刺,33
错,33
母,33
屏,33
叫,33
届,32
败,32
宅,32
佩,32
灭,32
腾,32
跨,32
召,32
换,32
尖,32
刻,32
训,32
恐,32
摄,32
乏,32
午,32
艘,32
苦,31
秘,31
裔,31
翻,31
迪,31
赢,31
般,31
罚,31
误,31
钢,31
绕,30
悉,30
堂,30
繁,30
渐,30
凸,30
替,30
慢,30
鲜,30
靠,30
兵,30
硬,30
招,30
龄,30
派,30
搁,30
怀,29
谁,29
侵,29
写,29
塑,29
绿,29
操,29
革,29
倒,29
飙,29
守,29
课,29
贵,29
坦,29
胞,29
偿,29
培,29
耐,29
扰,29
违,29
漫,28
杯,28
犯,28
植,28
猫,28
碍,28
归,28
凯,28
冷,28
青,28
焦,28
钟,28
询,28
滞,28
块,28
搭,28
赔,28
酸,28
赚,27
肺,27
秒,27
宜,27
厚,27
伏,27
菱,27
顺,27
樱,27
枪,27
套,27
握,27
罪,27
瓦,27
撞,27
籍,27
驱,27
墨,27
洪,27
赶,26
榜,26
杀,26
绍,26
筹,26
圣,26
抢,26
渡,26
逆,26
九,26
练,26
剩,26
旧,26
狂,25
朋,25
顿,25
熟,25
末,25
牙,25
予,25
拒,25
耗,25
朝,25
押,25
折,25
八,25
茨,25
贝,25
读,25
旺,25
蚂,25
蚁,25
雅,25
毁,25
伯,25
粉,25
撤,24
楼,24
古,24
讲,24
宫,24
蒙,24
玩,24
编,24
掉,24
纤,24
概,24
舟,24
途,24
摆,24
父,24
瓶,24
亏,24
佛,24
敦,24
陶,24
综,24
迈,24
桥,24
宁,24
洗,23
覆,23
雇,23
喜,23
阴,23
浪,23
裕,23
纸,23
坛,23
抛,23
筑,23
拆,23
仓,23
麻,23
肯,23
荡,23
遏,23
皮,23
挫,23
鸿,23
词,23
曲,22
邮,22
呈,22
斗,22
械,22
津,22
草,22
堆,22
婴,22
烧,22
厅,22
七,22
渔,22
汉,22
捐,22
轨,22
糖,22
堡,22
符,22
鸡,22
歧,22
熊,22
披,21
炎,21
沉,21
拖,21
圆,21
疆,21
简,21
井,21
舞,21
灵,21
偏,21
郑,21
逃,21
董,21
江,21
恩,21
丝,21
旬,21
污,21
夜,21
猛,20
虚,20
盈,20
唱,20
章,20
贫,20
豪,20
缘,20
殖,20
雪,20
怕,20
涌,20
叶,20
典,20
赏,20
杜,20
齐,20
梨,20
妇,20
坐,20
乱,20
梅,20
喷,19
惠,19
玉,19
阁,19
蔓,19
账,19
荷,19
莱,19
姆,19
抱,19
径,19
狗,19
赠,19
凤,19
玛,19
寸,19
扬,19
赞,19
塌,19
菜,18
绪,18
胡,18
痛,18
咖,18
既,18
偷,18
镜,18
篇,18
耳,18
隆,18
伴,18
秀,18
迁,18
衰,18
宿,18
某,18
洛,18
抑,18
毅,18
唯,18
毫,18
遍,18
婚,18
殊,18
削,18
辞,18
旨,18
幸,18
愈,18
奶,17
镇,17
旦,17
晨,17
薪,17
奈,17
穷,17
宇,17
裂,17
暖,17
湖,17
刷,17
锦,17
阪,17
洁,17
虐,17
鞋,17
沫,16
喝,16
昂,16
淡,16
酬,16
攀,16
藏,16
挤,16
屋,16
讼,16
泳,16
挺,16
楚,16
蔡,16
慕,16
舰,16
寿,16
鉴,16
丹,16
肆,16
乌,16
巡,16
赴,16
躺,16
峻,16
惯,15
静,15
丁,15
柏,15
蓝,15
鸟,15
炸,15
残,15
勃,15
灯,15
廷,15
谨,15
辛,15
葡,15
萄,15
淳,15
亮,15
租,15
邻,15
醒,15
募,15
娱,15
刘,15
炭,15
惕,15
畅,15
尘,15
冬,15
宛,15
珠,15
杨,15
尝,14
趣,14
彩,14
啡,14
番,14
凌,14
侠,14
阅,14
横,14
艰,14
辩,14
肌,14
帝,14
描,14
颜,14
骨,14
汤,14
踏,14
铃,14
祖,14
毛,14
册,14
蒂,14
煤,14
瓷,14
遵,14
铺,14
黎,14
旋,14
拼,14
旱,14
暗,14
硅,14
堪,14
甲,14
怪,14
猪,14
粮,14
饭,14
瑟,14
扣,14
庆,14
礁,14
虎,14
乓,14
拓,14
乡,13
扎,13
凭,13
档,13
吧,13
彼,13
浮,13
沿,13
膨,13
详,13
脏,13
渠,13
仪,13
敢,13
雄,13
咨,13
炉,13
怖,13
敏,13
圈,13
脚,13
铜,13
叠,13
梯,13
扫,13
睡,13
犹,13
妈,13
尺,13
盐,13
胎,13
颈,13
舆,13
仿,13
喊,13
揭,13
尾,13
卢,13
丶,13
敲,13
彭,13
诗,13
疏,13
岗,13
豹,13
姿,13
绳,13
戒,13
娜,12
胶,12
框,12
勇,12
膜,12
寄,12
岳,12
蒸,12
诞,12
擦,12
棉,12
慎,12
宙,12
奋,12
孟,12
貌,12
荒,12
忘,12
献,12
氨,12
烦,12
捧,12
侧,12
刀,12
谓,12
诚,12
宏,12
斥,12
肥,12
芬,12
兼,12
钴,12
闪,12
催,12
搜,12
倾,12
添,12
栏,12
裤,12
页,12
杰,12
递,12
孤,12
泽,12
宠,12
阵,12
耶,12
遥,12
乒,12
赵,12
饺,12
穆,11
寓,11
懂,11
兑,11
舱,11
冒,11
岩,11
冈,11
崩,11
崎,11
菌,11
脸,11
抓,11
铠,11
伍,11
览,11
掘,11
帐,11
崛,11
杉,11
郎,11
擎,11
寒,11
捷,11
忌,11
雀,11
帕,11
讽,11
哲,11
狮,11
洞,11
伐,11
丧,11
荐,11
赫,11
盒,11
酿,11
御,11
撑,11
柴,11
谢,11
垃,11
圾,11
狼,11
胰,11
踩,11
狱,11
佐,11
孕,11
鬼,11
钻,10
粒,10
郊,10
疲,10
址,10
丢,10
糕,10
斤,10
啤,10
循,10
劣,10
玻,10
滨,10
锐,10
贡,10
碑,10
疯,10
怨,10
韦,10
庞,10
诸,10
卓,10
迄,10
坠,10
郭,10
浓,10
眠,10
坊,10
廉,10
毕,10
虫,10
豁,10
弥,10
厦,10
欣,10
携,10
篮,10
橡,10
礼,10
椅,10
忆,10
嫌,10
抽,10
侣,10
骑,10
刹,10
牧,10
瓜,10
坂,10
贾,9
挣,9
惨,9
柿,9
粹,9
掀,9
轴,9
倡,9
蓬,9
奢,9
侈,9
忽,9
卸,9
誉,9
忍,9
厘,9
幻,9
筛,9
鳗,9
怒,9
鲑,9
扇,9
搬,9
伸,9
厨,9
贺,9
脆,9
捞,9
弗,9
袖,9
腊,9
灰,9
尿,9
谋,9
挪,9
丸,9
聘,9
沟,9
辑,9
填,9
杆,9
颇,9
佣,9
姓,9
刊,9
逼,9
滩,9
昌,9
珍,9
肠,9
舍,9
逮,9
炒,9
摇,9
莲,9
隧,9
贩,9
仲,9
祝,9
彻,9
垒,9
巢,9
艇,9
赎,9
唐,8
晓,8
盗,8
腐,8
仔,8
纺,8
摊,8
妮,8
笑,8
翁,8
瞩,8
桌,8
晋,8
铂,8
刑,8
蝶,8
浩,8
炼,8
吹,8
闲,8
滚,8
拯,8
舌,8
羊,8
豫,8
奏,8
碰,8
冻,8
曝,8
牵,8
柱,8
句,8
泊,8
妆,8
鲍,8
鲸,8
淘,8
兆,8
妻,8
枚,8
趟,8
浦,8
奔,8
袋,8
祭,8
扮,8
眉,8
歉,8
纵,8
歇,8
脂,8
晤,8
抨,8
猜,8
啦,8
戈,8
墙,8
督,8
舶,8
薄,8
柯,8
仁,8
梁,8
墓,8
壤,8
廊,8
尊,8
滥,8
箭,8
偶,8
炮,8
坍,8
猎,8
渴,8
薇,8
刃,8
您,8
丘,7
厉,7
徐,7
欺,7
诈,7
葱,7
甘,7
伙,7
夹,7
烟,7
藤,7
瞬,7
璃,7
辈,7
潟,7
厌,7
叹,7
忙,7
枢,7
矶,7
酱,7
插,7
溯,7
饱,7
萝,7
纹,7
呆,7
漏,7
窃,7
虾,7
曹,7
梳,7
锡,7
紫,7
崇,7
濒,7
瞄,7
霍,7
赌,7
鼻,7
扭,7
腰,7
栋,7
宴,7
旁,7
棒,7
酋,7
翰,7
尸,7
滤,7
缅,7
甸,7
瘫,7
痪,7
辅,7
圳,7
拔,7
践,7
鹿,7
擅,7
逻,7
寡,7
欲,7
厢,7
葬,7
乃,7
宪,7
泉,7
铭,7
谴,7
琳,7
嘉,7
幼,6
挽,6
颗,6
闹,6
乳,6
悦,6
溃,6
臂,6
琼,6
掩,6
耕,6
凝,6
摸,6
羽,6
轿,6
萎,6
夕,6
浏,6
聊,6
帖,6
旭,6
亦,6
盎,6
鹅,6
浴,6
肩,6
卵,6
竭,6
绘,6
孜,6
兹,6
韧,6
菠,6
壁,6
衔,6
孙,6
契,6
恒,6
瘦,6
饲,6
贬,6
慌,6
逝,6
慰,6
肤,6
泄,6
饰,6
桃,6
啸,6
凡,6
壳,6
嘲,6
晒,6
脉,6
匹,6
剥,6
粘,6
俱,6
耀,6
俗,6
國,6
悲,6
桑,6
撒,6
勤,6
徒,6
昆,6
腺,6
盼,6
灌,6
涂,6
搞,6
邀,6
丈,6
玫,6
瑰,6
颖,6
魔,6
晰,6
烯,6
酷,6
菅,6
樟,6
喀,6
蔬,5
拨,5
疼,5
谍,5
霸,5
斋,5
昭,5
埼,5
麒,5
麟,5
兄,5
溢,5
柳,5
霹,5
旷,5
雾,5
颠,5
锅,5
辱,5
诀,5
诱,5
履,5
谎,5
夸,5
肢,5
辟,5
仙,5
雌,5
愤,5
弈,5
拾,5
衍,5
涵,5
霜,5
赤,5
痴,5
亭,5
拭,5
讶,5
拐,5
蕴,5
恤,5
僵,5
庸,5
垂,5
抚,5
町,5
弘,5
孔,5
尴,5
尬,5
燥,5
沈,5
骚,5
稍,5
彰,5
巩,5
吐,5
剑,5
琉,5
函,5
沦,5
糟,5
胖,5
馈,5
卿,5
蚀,5
彦,5
删,5
磋,5
锋,5
敌,5
沸,5
腹,5
贞,5
氏,5
發,5
磊,5
烤,5
闯,5
痕,5
柜,5
吾,5
艾,5
拘,5
译,5
噩,5
泥,5
杠,5
逢,5
铝,5
週,5
復,5
伪,5
爸,5
姬,5
簿,5
恰,5
螺,5
祥,5
巧,5
氚,5
辐,5
扶,5
糊,5
徙,5
蒲,5
祈,5
摧,5
倦,5
恋,5
竹,5
铀,5
丛,5
郁,5
躲,5
黛,5
挡,5
畔,5
浸,5
拦,5
盲,5
龟,5
洽,5
琴,5
乙,5
吴,5
缴,5
惩,5
隼,5
娅,5
拳,4
溶,4
碧,4
贪,4
薯,4
姗,4
惑,4
肃,4
缝,4
撰,4
稿,4
涛,4
弟,4
俊,4
骤,4
雳,4
坞,4
拱,4
臣,4
轧,4
蜜,4
喱,4
榨,4
汁,4
皆,4
槟,4
蝴,4
鳍,4
桶,4
豚,4
勉,4
屈,4
秩,4
驳,4
祸,4
役,4
抖,4
肖,4
汰,4
酯,4
槽,4
乍,4
酝,4
珊,4
郡,4
钮,4
捉,4
庄,4
睐,4
蕾,4
詹,4
霞,4
滕,4
帅,4
帛,4
贤,4
缆,4
猴,4
萌,4
谐,4
姻,4
誓,4
睫,4
抹,4
仰,4
裹,4
杭,4
蔽,4
篪,4
烷,4
會,4
淀,4
搏,4
萧,4
璐,4
敞,4
钠,4
甜,4
肴,4
愁,4
轭,4
牢,4
滋,4
蜂,4
哦,4
惧,4
慈,4
烂,4
蛇,4
悄,4
宋,4
窄,4
蛛,4
惹,4
罐,4
丑,4
妥,4
痊,4
澜,4
穴,4
峙,4
澄,4
潘,4
揣,4
烹,4
鳌,4
掺,4
叛,4
皱,4
轰,4
瀚,4
桩,4
涯,4
砂,4
钦,4
驰,4
粗,4
琪,4
寺,4
笼,4
峡,4
屿,4
肿,4
瘤,4
饥,4
槛,4
喘,4
胃,4
脊,4
兜,4
悼,4
暑,4
揽,4
椎,4
铅,4
昔,4
鸦,4
幽,3
窗,3
恳,3
愉,3
匿,3
茫,3
驭,3
蝉,3
谱,3
棵,3
鹰,3
牠,3
顽,3
巾,3
劝,3
煽,3
埋,3
恼,3
氛,3
喻,3
纮,3
筱,3
饼,3
煮,3
辣,3
椒,3
侮,3
魅,3
咪,3
镍,3
酵,3
朵,3
扯,3
亨,3
裘,3
啊,3
碗,3
垫,3
哭,3
畜,3
秉,3
囤,3
涝,3
贯,3
弯,3
吞,3
割,3
莉,3
胸,3
慧,3
遣,3
悔,3
矢,3
衷,3
琐,3
宵,3
孚,3
皇,3
敬,3
顷,3
熔,3
纬,3
壮,3
俩,3
巅,3
串,3
昏,3
悬,3
挂,3
掷,3
磨,3
辨,3
懈,3
麽,3
垮,3
剖,3
靡,3
缔,3
烘,3
哆,3
硫,3
宰,3
绑,3
佈,3
镑,3
棱,3
磅,3
窥,3
仗,3
栽,3
踵,3
睛,3
罄,3
瘟,3
磷,3
睹,3
煞,3
砸,3
碎,3
氮,3
珂,3
豌,3
咬,3
棘,3
燕,3
厄,3
屠,3
纠,3
帷,3
這,3
懒,3
煌,3
涩,3
舒,3
浆,3
魏,3
麾,3
饪,3
砍,3
樊,3
湿,3
汹,3
劫,3
卧,3
蟒,3
爽,3
辖,3
柔,3
莪,3
君,3
稽,3
蒋,3
谜,3
陋,3
傻,3
噪,3
淹,3
侨,3
鲱,3
奄,3
兔,3
栖,3
饿,3
嫩,3
娃,3
禧,3
亥,3
聪,3
矛,3
裸,3
峇,3
颁,3
笹,3
馅,3
篷,3
拢,3
膝,3
盾,3
桧,3
咎,3
咏,3
锻,3
婞,3
霏,3
嫁,3
杏,3
憾,2
茶,2
扁,2
傲,2
栗,2
飘,2
焰,2
邑,2
邓,2
肾,2
臭,2
嘘,2
俨,2
帆,2
烙,2
跻,2
蟹,2
叉,2
唤,2
阐,2
寥,2
虞,2
腿,2
攸,2
洄,2
诫,2
鼠,2
棕,2
涅,2
匠,2
肛,2
盯,2
醉,2
霄,2
抉,2
冯,2
蝗,2
钞,2
叙,2
蚕,2
斜,2
镳,2
慷,2
慨,2
渗,2
囊,2
咽,2
胆,2
袁,2
芭,2
翩,2
黯,2
茂,2
谅,2
硕,2
纾,2
強,2
霾,2
爪,2
哇,2
於,2
藉,2
珀,2
仇,2
梗,2
姐,2
馏,2
瑙,2
焕,2
枫,2
聯,2
議,2
經,2
凹,2
喉,2
稻,2
隶,2
剃,2
妙,2
熬,2
玲,2
獭,2
梶,2
辽,2
绽,2
啧,2
蛮,2
婪,2
踊,2
钩,2
淋,2
孵,2
凑,2
瑚,2
訪,2
盔,2
泻,2
炙,2
晴,2
溪,2
袍,2
斩,2
羹,2
狭,2
肇,2
谣,2
伺,2
赋,2
弊,2
悠,2
翼,2
蜘,2
僚,2
怜,2
笛,2
诠,2
莓,2
缠,2
暇,2
崔,2
帽,2
扑,2
骼,2
奉,2
妨,2
攒,2
忡,2
團,2
個,2
哨,2
轩,2
條,2
缸,2
钵,2
盆,2
乖,2
罢,2
炬,2
殿,2
煲,2
仑,2
缪,2
胳,2
疤,2
痘,2
爷,2
吕,2
竖,2
瘾,2
缤,2
庙,2
篝,2
關,2
報,2
骇,2
涡,2
绊,2
矩,2
窒,2
吊,2
斌,2
邱,2
谊,2
岌,2
處,2
叽,2
喳,2
齿,2
吓,2
肝,2
挠,2
焙,2
汪,2
熠,2
梵,2
翅,2
牺,2
牲,2
撼,2
狩,2
廖,2
坎,2
骏,2
陕,2
窘,2
哗,2
兢,2
溉,2
醇,2
藻,2
穗,2
铎,2
炫,2
唾,2
卑,2
骸,2
酪,2
趁,2
弄,2
亟,2
陪,2
邹,2
彤,2
腥,2
苛,2
憋,2
灶,2
鹏,2
骗,2
宕,2
渤,2
阔,2
傍,2
暹,2
跋,2
镓,2
泵,2
勿,2
擘,2
庇,2
坪,2
奎,2
泪,2
漠,2
柒,2
粪,2
桨,2
晾,2
苒,2
靓,2
抬,2
莎,2
惜,2
弓,2
寅,2
倩,2
枯,2
哔,2
哩,2
甩,2
榷,2
鞭,2
猩,2
熏,2
羞,2
胺,2
竿,2
凿,2
铮,2
鸣,2
悸,2
镌,2
乔,2
匙,2
飓,2
製,2
盏,2
嚏,1
咳,1
嗽,1
欠,1
舜,1
漱,1
粛,1
紅,1
熨,1
橱,1
怦,1
霓,1
虹,1
炽,1
侬,1
匪,1
聿,1
唏,1
沽,1
锯,1
摒,1
铸,1
撕,1
橙,1
傅,1
澡,1
裾,1
篑,1
锌,1
魄,1
芒,1
兽,1
帧,1
堺,1
姑,1
悟,1
喙,1
驿,1
狄,1
颤,1
褐,1
犀,1
牟,1
赊,1
裡,1
褒,1
睁,1
捣,1
涎,1
俯,1
镶,1
蝙,1
蝠,1
卜,1
荼,1
锗,1
耦,1
谛,1
懊,1
舔,1
脐,1
慑,1
腔,1
忠,1
钳,1
锏,1
钛,1
浑,1
畴,1
嘛,1
帜,1
淆,1
悍,1
匀,1
牍,1
蹒,1
跚,1
恨,1
迥,1
弩,1
沾,1
芽,1
浜,1
唇,1
娩,1
漂,1
貿,1
確,1
認,1
戰,1
來,1
濟,1
動,1
過,1
創,1
葛,1
挨,1
橄,1
榄,1
氪,1
懿,1
牦,1
咙,1
柚,1
豉,1
阮,1
纱,1
诟,1
彪,1
瓴,1
榴,1
翠,1
蘑,1
菇,1
堤,1
盃,1
佰,1
媲,1
隻,1
盥,1
涤,1
膏,1
诽,1
谤,1
朱,1
圩,1
恕,1
倪,1
稣,1
馨,1
匮,1
砌,1
棺,1
钉,1
汶,1
寐,1
砰,1
楷,1
潢,1
陵,1
媛,1
曙,1
蹂,1
躏,1
湛,1
颅,1
矮,1
朔,1
跪,1
坤,1
恭,1
銮,1
砝,1
缀,1
雕,1
釜,1
恺,1
俑,1
怂,1
磁,1
對,1
馬,1
雲,1
螞,1
蟻,1
進,1
億,1
開,1
監,1
機,1
構,1
壞,1
顯,1
網,1
頭,1
決,1
诧,1
汙,1
祉,1
搅,1
拌,1
扔,1
歆,1
掣,1
肘,1
晦,1
壶,1
猕,1
胚,1
弦,1
仕,1
锈,1
榈,1
琅,1
暌,1
翘,1
阱,1
倚,1
椰,1
钒,1
蹦,1
侦,1
绯,1
譬,1
拷,1
撇,1
邵,1
缭,1
荚,1
坟,1
咆,1
哮,1
犬,1
棚,1
鳄,1
婉,1
懑,1
岭,1
寂,1
寞,1
曳,1
蹄,1
嗑,1
殆,1
沖,1
耸,1
備,1
拮,1
涸,1
皲,1
螃,1
咀,1
嚼,1
屡,1
汀,1
喔,1
岚,1
洒,1
冗,1
橋,1
鐵,1
車,1
從,1
怠,1
哀,1
莹,1
陌,1
讷,1
崭,1
钝,1
熄,1
饕,1
芦,1
笋,1
迦,1
癸,1
堰,1
闽,1
灣,1
總,1
統,1
視,1
訊,1
說,1
與,1
歐,1
導,1
體,1
內,1
鍵,1
資,1
應,1
鏈,1
